UTC(HH:MM:SS),PRN,El(deg),C/N0(dB-Hz),S4c,STEC(TECU),ROTI(TECU/min),VTEC(TECU),raw_P1(m),raw_P2(m)
06:52:09,G08,66.7,48.0,0.038,125.28,nan,49.55,51540.820,51553.980
06:52:10,G09,56.1,46.0,0.031,123.76,nan,69.02,44889.720,44902.720
06:52:10,G02,36.6,45.0,0.036,94.43,nan,75.81,265627.180,265637.100
06:52:10,G27,33.6,43.0,0.036,151.17,nan,125.91,250336.740,250352.620
06:52:10,G04,62.0,46.0,0.029,100.53,nan,47.19,265515.140,265525.700
06:52:10,G08,66.7,47.0,0.032,125.47,nan,49.63,51839.940,51853.120
06:52:11,G09,56.1,46.0,0.031,123.76,nan,69.02,44821.120,44834.120
06:52:11,G02,36.6,45.0,0.036,94.63,nan,75.97,265283.640,265293.580
06:52:11,G27,33.6,43.0,0.036,151.36,nan,126.07,250932.980,250948.880
06:52:11,G04,62.0,46.0,0.029,100.53,nan,47.19,265844.840,265855.400
06:52:11,G08,66.7,47.0,0.032,125.28,nan,49.55,52139.180,52152.340
06:52:12,G09,56.1,47.0,0.031,123.76,nan,69.02,44752.660,44765.660
06:52:12,G02,36.6,46.0,0.037,94.82,nan,76.12,264940.180,264950.140
06:52:12,G27,33.6,44.0,0.037,151.36,nan,126.07,251529.300,251545.200
06:52:12,G04,61.9,47.0,0.030,100.72,nan,47.44,266174.680,266185.260
06:52:12,G08,66.7,48.0,0.033,125.47,nan,49.63,52438.520,52451.700
06:52:13,G09,56.1,48.0,0.031,123.76,nan,69.02,44684.320,44697.320
06:52:13,G02,36.6,47.0,0.039,95.01,nan,76.27,264596.780,264606.760
06:52:13,G27,33.6,45.0,0.039,151.36,nan,126.07,252125.700,252141.600
06:52:13,G04,61.9,48.0,0.031,100.72,nan,47.44,266504.640,266515.220
06:52:13,G08,66.6,49.0,0.035,125.47,nan,49.83,52738.000,52751.180
06:52:14,G09,56.1,46.0,0.031,123.76,nan,69.02,44616.120,44629.120
06:52:14,G02,36.6,45.0,0.039,95.01,nan,76.27,264253.480,264263.460
06:52:14,G27,33.6,43.0,0.039,151.55,nan,126.23,252722.140,252738.060
06:52:14,G04,61.9,46.0,0.031,100.72,nan,47.44,266834.700,266845.280
06:52:14,G08,66.6,47.0,0.035,125.47,nan,49.83,53037.580,53050.760
06:52:15,G09,56.1,46.0,0.031,123.76,nan,69.02,44548.060,44561.060
06:52:15,G02,36.6,45.0,0.039,95.20,nan,76.43,263910.220,263920.220
06:52:15,G27,33.6,43.0,0.038,151.74,nan,126.39,253318.660,253334.600
06:52:15,G04,61.9,46.0,0.031,100.91,nan,47.53,267164.880,267175.480
06:52:15,G08,66.6,47.0,0.034,125.66,nan,49.91,53337.280,53350.480
06:52:16,G09,56.1,47.0,0.031,123.95,nan,69.13,44480.100,44493.120
06:52:16,G02,36.6,46.0,0.038,95.20,nan,76.43,263567.040,263577.040
06:52:16,G27,33.6,44.0,0.038,151.74,nan,126.39,253915.260,253931.200
06:52:16,G04,61.9,47.0,0.031,100.72,nan,47.44,267495.200,267505.780
06:52:16,G08,66.6,48.0,0.034,125.85,nan,49.98,53637.080,53650.300
06:52:17,G09,56.1,47.0,0.032,123.76,nan,69.02,44412.280,44425.280
06:52:17,G02,36.6,46.0,0.039,95.20,nan,76.43,263223.920,263233.920
06:52:17,G27,33.5,44.0,0.039,151.74,nan,126.54,254511.900,254527.840
06:52:17,G04,61.9,47.0,0.032,100.72,nan,47.44,267825.580,267836.160
06:52:17,G08,66.6,48.0,0.035,125.85,nan,49.98,53937.000,53950.220
06:52:18,G09,56.1,48.0,0.032,123.95,nan,69.13,44344.560,44357.580
06:52:18,G02,36.6,47.0,0.040,95.39,nan,76.58,262880.840,262890.860
06:52:18,G27,33.5,45.0,0.040,151.74,nan,126.54,255108.600,255124.540
06:52:18,G04,61.9,48.0,0.032,100.72,nan,47.44,268156.080,268166.660
06:52:18,G08,66.6,49.0,0.036,125.85,nan,49.98,54237.000,54250.220
06:52:19,G09,56.1,47.0,0.028,123.76,nan,69.02,44276.980,44289.980
06:52:19,G02,36.6,46.0,0.035,95.20,nan,76.43,262537.820,262547.820
06:52:19,G27,33.5,44.0,0.034,151.74,nan,126.54,255705.340,255721.280
06:52:19,G04,61.9,47.0,0.028,100.91,nan,47.53,268486.660,268497.260
06:52:19,G08,66.6,48.0,0.033,125.85,nan,49.98,54537.120,54550.340
06:52:20,G09,56.1,46.0,0.024,123.76,nan,69.02,44209.500,44222.500
06:52:20,G02,36.6,45.0,0.032,95.01,nan,76.27,262194.900,262204.880
06:52:20,G27,33.5,43.0,0.030,151.74,nan,126.54,256302.160,256318.100
06:52:20,G04,61.9,46.0,0.024,100.72,nan,47.44,268817.360,268827.940
06:52:20,G08,66.6,47.0,0.030,126.04,nan,50.06,54837.340,54850.580
06:52:21,G09,56.1,47.0,0.021,123.95,nan,69.13,44142.160,44155.180
06:52:21,G02,36.6,45.0,0.028,95.20,nan,76.43,261852.000,261862.000
06:52:21,G27,33.5,44.0,0.025,151.55,nan,126.38,256899.060,256914.980
06:52:21,G04,61.9,47.0,0.021,100.91,nan,47.53,269148.180,269158.780
06:52:21,G08,66.6,48.0,0.026,126.04,nan,50.06,55137.680,55150.920
06:52:22,G09,56.1,48.0,0.022,123.95,nan,69.13,44074.940,44087.960
06:52:22,G02,36.7,47.0,0.028,95.39,nan,76.48,261509.180,261519.200
06:52:22,G27,33.5,45.0,0.026,151.74,nan,126.54,257496.000,257511.940
06:52:22,G04,61.9,48.0,0.022,100.91,nan,47.53,269479.100,269489.700
06:52:22,G08,66.6,49.0,0.027,126.23,nan,50.13,55438.120,55451.380
06:52:23,G09,56.1,47.0,0.021,123.95,nan,69.13,44007.860,44020.880
06:52:23,G02,36.7,46.0,0.026,95.39,nan,76.48,261166.420,261176.440
06:52:23,G27,33.5,44.0,0.024,151.55,nan,126.38,258093.020,258108.940
06:52:23,G04,61.9,47.0,0.021,101.10,nan,47.62,269810.120,269820.740
06:52:23,G08,66.6,48.0,0.024,126.23,nan,50.13,55738.680,55751.940
06:52:24,G09,56.1,47.0,0.019,123.95,nan,69.13,43940.880,43953.900
06:52:24,G02,36.7,46.0,0.024,95.58,nan,76.63,260823.700,260833.740
06:52:24,G27,33.5,44.0,0.023,151.55,nan,126.38,258690.060,258705.980
06:52:24,G04,61.8,47.0,0.019,100.91,nan,47.68,270141.260,270151.860
06:52:24,G08,66.6,48.0,0.023,126.23,nan,50.13,56039.320,56052.580
06:52:25,G09,56.1,48.0,0.018,124.14,0.129,69.24,43874.020,43887.060
06:52:25,G02,36.7,46.0,0.021,95.39,0.155,76.48,260481.080,260491.100
06:52:25,G27,33.5,45.0,0.022,151.74,0.157,126.54,259287.160,259303.100
06:52:25,G04,61.8,48.0,0.018,100.91,0.140,47.68,270472.500,270483.100
06:52:25,G08,66.5,48.0,0.019,126.42,0.153,50.41,56340.080,56353.360
06:52:26,G09,56.1,48.0,0.016,124.14,0.129,69.24,43807.280,43820.320
06:52:26,G02,36.7,46.0,0.015,95.58,0.157,76.63,260138.480,260148.520
06:52:26,G27,33.5,44.0,0.016,151.74,0.155,126.54,259884.340,259900.280
06:52:26,G04,61.8,48.0,0.016,100.91,0.140,47.68,270803.840,270814.440
06:52:26,G08,66.5,48.0,0.014,126.61,0.153,50.49,56640.940,56654.240
06:52:27,G09,56.1,48.0,0.016,123.95,0.131,69.13,43740.680,43753.700
06:52:27,G02,36.7,46.0,0.014,95.77,0.159,76.78,259795.940,259806.000
06:52:27,G27,33.5,45.0,0.016,151.74,0.155,126.54,260481.560,260497.500
